[2026-03-18 13:47:47 Local] [192.168.197.135:1443] [UDP] QNAME: cpcalendars.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:29760] [UDP] QNAME: us-east-1.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:47573] [UDP] QNAME: compute.img.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:33577] [UDP] QNAME: assets.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:8558] [UDP] QNAME: beta.preprod.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:42797] [UDP] QNAME: admin.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:52023] [UDP] QNAME: gr7.i.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:18524] [UDP] QNAME: preview.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:29883] [UDP] QNAME: vpn.ssl.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:3183] [UDP] QNAME: my.login.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:31825] [UDP] QNAME: s3.us-west-2.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:36140] [UDP] QNAME: blog.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:39047] [UDP] QNAME: apps.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:10272] [UDP] QNAME: digital.services.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:44569] [UDP] QNAME: content.s.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:42884] [UDP] QNAME: server.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:50419] [UDP] QNAME: cms.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:24277] [UDP] QNAME: connect.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:33080] [UDP] QNAME: com.fr.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
[2026-03-18 13:47:47 Local] [192.168.197.135:7850] [UDP] QNAME: store.aws.lab.local; QTYPE: A; QCLASS: IN; RCODE: NxDomain; ANSWER: []
